ACCIONA 74,6400 09:00
ACERINOX 9,9160 09:00
ACS 33,0000 09:00
AENA 140,5500 09:00
AMADEUS 70,8400 09:01
ARCELORMITT. 21,6150 09:01
B.SABADELL 1,1570 09:00
BANKIA 2,7790 09:00
BANKINTER 7,2360 09:01
BBVA 4,8875 09:01
CAIXABANK 3,5130 09:01
CELLNEX 22,0300 09:00
|CIE AUTOMOT.| 23,4000 09:00
DIA 0,6654 09:01
ENAGAS 23,3200 09:00
ENDESA 18,4800 09:00
FERROVIAL 17,6150 09:01
GRIFOLS 25,0500 09:00
IAG 6,8180 09:01
IBERDROLA 6,2820 09:01
INDITEX 24,9700 09:01
|INDRA A| 8,7100 09:00
INM.COLONIAL 8,8800 09:00
MAPFRE 2,6430 09:00
MEDIASET 5,9800 09:00
|MELIA HOTELS| 9,1400 09:00
|MERLIN PROP.| 11,0050 09:00
NATURGY 21,7300 09:00
R.E.C. 18,3200 09:01
REPSOL 15,7450 09:00
SANTANDER 4,2005 09:00
|SIEMENS GAM| 9,8000 09:00
|TECNICAS REU| 23,7500 09:00
TELEFONICA 7,2520 09:01
VISCOFAN 52,8500 09:00
